time,vwap
2020-05-01 10:43,177.0352
2020-05-01 10:42,177.0295
2020-05-01 10:41,177.0244
2020-05-01 10:40,177.0204
2020-05-01 10:39,177.0171
2020-05-01 10:38,177.0145
2020-05-01 10:37,177.0100
2020-05-01 10:36,177.0017
2020-05-01 10:35,176.9942
2020-05-01 10:34,176.9919
2020-05-01 10:33,176.9899
2020-05-01 10:32,176.9881
2020-05-01 10:31,176.9854
2020-05-01 10:30,176.9815
2020-05-01 10:29,176.9766
2020-05-01 10:28,176.9746
2020-05-01 10:27,176.9713
2020-05-01 10:26,176.9683
2020-05-01 10:25,176.9653
2020-05-01 10:24,176.9657
2020-05-01 10:23,176.9642
2020-05-01 10:22,176.9623
2020-05-01 10:21,176.9560
2020-05-01 10:20,176.9514
2020-05-01 10:19,176.9480
2020-05-01 10:18,176.9459
2020-05-01 10:17,176.9434
2020-05-01 10:16,176.9382
2020-05-01 10:15,176.9311
2020-05-01 10:14,176.9221
2020-05-01 10:13,176.9129
2020-05-01 10:12,176.9018
2020-05-01 10:11,176.8870
2020-05-01 10:10,176.8611
2020-05-01 10:09,176.8416
2020-05-01 10:08,176.8140
2020-05-01 10:07,176.7880
2020-05-01 10:06,176.7432
2020-05-01 10:05,176.7250
2020-05-01 10:04,176.7102
2020-05-01 10:03,176.6947
2020-05-01 10:02,176.6583
2020-05-01 10:01,176.6143
2020-05-01 10:00,176.5782
2020-05-01 09:59,176.5599
2020-05-01 09:58,176.5470
2020-05-01 09:57,176.5374
2020-05-01 09:56,176.5286
2020-05-01 09:55,176.5148
2020-05-01 09:54,176.5067
2020-05-01 09:53,176.4922
2020-05-01 09:52,176.4765
2020-05-01 09:51,176.4543
2020-05-01 09:50,176.4126
2020-05-01 09:49,176.3706
2020-05-01 09:48,176.3334
2020-05-01 09:47,176.3125
2020-05-01 09:46,176.2900
2020-05-01 09:45,176.2775
2020-05-01 09:44,176.2818
2020-05-01 09:43,176.3023
2020-05-01 09:42,176.2961
2020-05-01 09:41,176.2951
2020-05-01 09:40,176.2913
2020-05-01 09:39,176.2944
2020-05-01 09:38,176.2908
2020-05-01 09:37,176.2793
2020-05-01 09:36,176.2449
2020-05-01 09:35,176.1746
2020-05-01 09:34,176.0798
2020-05-01 09:33,176.0339
2020-05-01 09:32,175.9418
2020-05-01 09:31,175.8700
2020-04-30 16:00,178.5640
2020-04-30 15:59,178.5597
2020-04-30 15:58,178.5546
2020-04-30 15:57,178.5510
2020-04-30 15:56,178.5477
2020-04-30 15:55,178.5452
2020-04-30 15:54,178.5423
2020-04-30 15:53,178.5419
2020-04-30 15:52,178.5414
2020-04-30 15:51,178.5418
